Sample set for CW rotation start at Horizontal plane
Position, Epoch time ns, ISO8601
15395,1679415557019844106,2023-03-21T16:19:17.019844106Z
15362,1679415557051772975,2023-03-21T16:19:17.051772975Z
15337,1679415557067727090,2023-03-21T16:19:17.067727090Z
15318,1679415557083758594,2023-03-21T16:19:17.083758594Z
15306,1679415557099753004,2023-03-21T16:19:17.099753004Z
15301,1679415557131640817,2023-03-21T16:19:17.131640817Z
15304,1679415557147709129,2023-03-21T16:19:17.147709129Z
15313,1679415557163659195,2023-03-21T16:19:17.163659195Z
15330,1679415557179659074,2023-03-21T16:19:17.179659074Z
15353,1679415557211638668,2023-03-21T16:19:17.211638668Z
15383,1679415557227620013,2023-03-21T16:19:17.227620013Z
15420,1679415557243611988,2023-03-21T16:19:17.243611988Z
15463,1679415557259558119,2023-03-21T16:19:17.259558119Z
15513,1679415557291454687,2023-03-21T16:19:17.291454687Z
15568,1679415557307468992,2023-03-21T16:19:17.307468992Z
15628,1679415557323443345,2023-03-21T16:19:17.323443345Z
15692,1679415557339445300,2023-03-21T16:19:17.339445300Z
15761,1679415557371414490,2023-03-21T16:19:17.371414490Z
15836,1679415557387422632,2023-03-21T16:19:17.387422632Z
15913,1679415557403409357,2023-03-21T16:19:17.403409357Z
15995,1679415557419416119,2023-03-21T16:19:17.419416119Z
16079,1679415557451333441,2023-03-21T16:19:17.451333441Z
16164,1679415557467322501,2023-03-21T16:19:17.467322501Z
16251,1679415557483361380,2023-03-21T16:19:17.483361380Z
16337,1679415557499358133,2023-03-21T16:19:17.499358133Z
40,1679415557531251358,2023-03-21T16:19:17.531251358Z
127,1679415557547219076,2023-03-21T16:19:17.547219076Z
213,1679415557563230131,2023-03-21T16:19:17.563230131Z
296,1679415557595227763,2023-03-21T16:19:17.595227763Z
377,1679415557611220898,2023-03-21T16:19:17.611220898Z
456,1679415557627124136,2023-03-21T16:19:17.627124136Z
534,1679415557643148871,2023-03-21T16:19:17.643148871Z
606,1679415557675148714,2023-03-21T16:19:17.675148714Z
676,1679415557691046292,2023-03-21T16:19:17.691046292Z
740,1679415557707096525,2023-03-21T16:19:17.707096525Z
800,1679415557723117382,2023-03-21T16:19:17.723117382Z
853,1679415557754993920,2023-03-21T16:19:17.754993920Z
901,1679415557771000271,2023-03-21T16:19:17.771000271Z
943,1679415557787082889,2023-03-21T16:19:17.787082889Z
978,1679415557802944185,2023-03-21T16:19:17.802944185Z
1006,1679415557834934390,2023-03-21T16:19:17.834934390Z
1028,1679415557850908621,2023-03-21T16:19:17.850908621Z
1043,1679415557866957202,2023-03-21T16:19:17.866957202Z
1051,1679415557882860650,2023-03-21T16:19:17.882860650Z
1052,1679415557914843130,2023-03-21T16:19:17.914843130Z
1046,1679415557930835321,2023-03-21T16:19:17.930835321Z
1033,1679415557946810723,2023-03-21T16:19:17.946810723Z
1013,1679415557962843564,2023-03-21T16:19:17.962843564Z
986,1679415557994756251,2023-03-21T16:19:17.994756251Z
953,1679415558010706772,2023-03-21T16:19:18.010706772Z
914,1679415558026790797,2023-03-21T16:19:18.026790797Z
869,1679415558042740358,2023-03-21T16:19:18.042740358Z
816,1679415558074715714,2023-03-21T16:19:18.074715714Z
760,1679415558090629170,2023-03-21T16:19:18.090629170Z
697,1679415558106737562,2023-03-21T16:19:18.106737562Z
629,1679415558122599818,2023-03-21T16:19:18.122599818Z
558,1679415558154534633,2023-03-21T16:19:18.154534633Z
484,1679415558170525905,2023-03-21T16:19:18.170525905Z
407,1679415558186549834,2023-03-21T16:19:18.186549834Z
327,1679415558218514374,2023-03-21T16:19:18.218514374Z
246,1679415558234472892,2023-03-21T16:19:18.234472892Z
162,1679415558250478077,2023-03-21T16:19:18.250478077Z
78,1679415558266496731,2023-03-21T16:19:18.266496731Z
16376,1679415558298429902,2023-03-21T16:19:18.298429902Z
16291,1679415558314334183,2023-03-21T16:19:18.314334183Z
16206,1679415558330328259,2023-03-21T16:19:18.330328259Z
16122,1679415558346297937,2023-03-21T16:19:18.346297937Z
16040,1679415558378245377,2023-03-21T16:19:18.378245377Z
15960,1679415558394307931,2023-03-21T16:19:18.394307931Z
15882,1679415558410220334,2023-03-21T16:19:18.410220334Z
15809,1679415558426226030,2023-03-21T16:19:18.426226030Z
15740,1679415558458188437,2023-03-21T16:19:18.458188437Z
15676,1679415558474172569,2023-03-21T16:19:18.474172569Z
15617,1679415558490173154,2023-03-21T16:19:18.490173154Z
15562,1679415558506161935,2023-03-21T16:19:18.506161935Z
15514,1679415558538141009,2023-03-21T16:19:18.538141009Z
15471,1679415558554070744,2023-03-21T16:19:18.554070744Z
15433,1679415558570108986,2023-03-21T16:19:18.570108986Z
15403,1679415558586083707,2023-03-21T16:19:18.586083707Z
15379,1679415558618082286,2023-03-21T16:19:18.618082286Z
15361,1679415558633988943,2023-03-21T16:19:18.633988943Z
15350,1679415558650008357,2023-03-21T16:19:18.650008357Z
15346,1679415558665922130,2023-03-21T16:19:18.665922130Z
15349,1679415558697954721,2023-03-21T16:19:18.697954721Z
15358,1679415558713902690,2023-03-21T16:19:18.713902690Z
