Sample set for CW rotation start at Horizontal plane
Position, Epoch time ns, ISO8601
12278,1677420659611511236,2023-02-26T14:10:59.611511236Z
12319,1677420659627534625,2023-02-26T14:10:59.627534625Z
12377,1677420659659516088,2023-02-26T14:10:59.659516088Z
12454,1677420659675518507,2023-02-26T14:10:59.675518507Z
12545,1677420659691532071,2023-02-26T14:10:59.691532071Z
12658,1677420659707515729,2023-02-26T14:10:59.707515729Z
12786,1677420659739539068,2023-02-26T14:10:59.739539068Z
12934,1677420659755512273,2023-02-26T14:10:59.755512273Z
13098,1677420659771530802,2023-02-26T14:10:59.771530802Z
13278,1677420659787526418,2023-02-26T14:10:59.787526418Z
13473,1677420659819569488,2023-02-26T14:10:59.819569488Z
13683,1677420659835413135,2023-02-26T14:10:59.835413135Z
13910,1677420659851516333,2023-02-26T14:10:59.851516333Z
14152,1677420659867487982,2023-02-26T14:10:59.867487982Z
14403,1677420659899438206,2023-02-26T14:10:59.899438206Z
14667,1677420659915424209,2023-02-26T14:10:59.915424209Z
14943,1677420659931388279,2023-02-26T14:10:59.931388279Z
15229,1677420659947365757,2023-02-26T14:10:59.947365757Z
15519,1677420659979438214,2023-02-26T14:10:59.979438214Z
15812,1677420659995393970,2023-02-26T14:10:59.995393970Z
16114,1677420660011339190,2023-02-26T14:11:00.011339190Z
31,1677420660027312491,2023-02-26T14:11:00.027312491Z
328,1677420660059341066,2023-02-26T14:11:00.059341066Z
624,1677420660075358628,2023-02-26T14:11:00.075358628Z
918,1677420660091338228,2023-02-26T14:11:00.091338228Z
176,1677420660107300622,2023-02-26T14:11:00.107300622Z
196,1677420660127095826,2023-02-26T14:11:00.127095826Z
1473,1677420660147248796,2023-02-26T14:11:00.147248796Z
1741,1677420660167383279,2023-02-26T14:11:00.167383279Z
1997,1677420660187515860,2023-02-26T14:11:00.187515860Z
2238,1677420660207610511,2023-02-26T14:11:00.207610511Z
2462,1677420660227689963,2023-02-26T14:11:00.227689963Z
2675,1677420660247806834,2023-02-26T14:11:00.247806834Z
2872,1677420660267924834,2023-02-26T14:11:00.267924834Z
3053,1677420660288046128,2023-02-26T14:11:00.288046128Z
3218,1677420660308163903,2023-02-26T14:11:00.308163903Z
3363,1677420660328282270,2023-02-26T14:11:00.328282270Z
3492,1677420660348395989,2023-02-26T14:11:00.348395989Z
3604,1677420660368514135,2023-02-26T14:11:00.368514135Z
3700,1677420660388635191,2023-02-26T14:11:00.388635191Z
3777,1677420660408716862,2023-02-26T14:11:00.408716862Z
3836,1677420660428829338,2023-02-26T14:11:00.428829338Z
3878,1677420660448949282,2023-02-26T14:11:00.448949282Z
3901,1677420660469068235,2023-02-26T14:11:00.469068235Z
3907,1677420660489185254,2023-02-26T14:11:00.489185254Z
3895,1677420660509307906,2023-02-26T14:11:00.509307906Z
3866,1677420660529433854,2023-02-26T14:11:00.529433854Z
3819,1677420660549552241,2023-02-26T14:11:00.549552241Z
3754,1677420660569670436,2023-02-26T14:11:00.569670436Z
3670,1677420660589789721,2023-02-26T14:11:00.589789721Z
3570,1677420660609908797,2023-02-26T14:11:00.609908797Z
3453,1677420660629955482,2023-02-26T14:11:00.629955482Z
3320,1677420660650108722,2023-02-26T14:11:00.650108722Z
3170,1677420660670240943,2023-02-26T14:11:00.670240943Z
3003,1677420660690354638,2023-02-26T14:11:00.690354638Z
2820,1677420660710492312,2023-02-26T14:11:00.710492312Z
2618,1677420660730625609,2023-02-26T14:11:00.730625609Z
2406,1677420660750741767,2023-02-26T14:11:00.750741767Z
2181,1677420660770862873,2023-02-26T14:11:00.770862873Z
1942,1677420660790989435,2023-02-26T14:11:00.790989435Z
1689,1677420660811115315,2023-02-26T14:11:00.811115315Z
1425,1677420660831243220,2023-02-26T14:11:00.831243220Z
1158,1677420660851368727,2023-02-26T14:11:00.851368727Z
880,1677420660871487299,2023-02-26T14:11:00.871487299Z
597,1677420660891607020,2023-02-26T14:11:00.891607020Z
311,1677420660911680430,2023-02-26T14:11:00.911680430Z
25,1677420660931808296,2023-02-26T14:11:00.931808296Z
16123,1677420660951934862,2023-02-26T14:11:00.951934862Z
15837,1677420660972051966,2023-02-26T14:11:00.972051966Z
15558,1677420660992171675,2023-02-26T14:11:00.992171675Z
15286,1677420661012291653,2023-02-26T14:11:01.012291653Z
15019,1677420661032417984,2023-02-26T14:11:01.032417984Z
14761,1677420661052538623,2023-02-26T14:11:01.052538623Z
14517,1677420661072662276,2023-02-26T14:11:01.072662276Z
14284,1677420661092797338,2023-02-26T14:11:01.092797338Z
14065,1677420661112906432,2023-02-26T14:11:01.112906432Z
13857,1677420661132948500,2023-02-26T14:11:01.132948500Z
13665,1677420661153099435,2023-02-26T14:11:01.153099435Z
13491,1677420661173227859,2023-02-26T14:11:01.173227859Z
13334,1677420661193356571,2023-02-26T14:11:01.193356571Z
13193,1677420661213488654,2023-02-26T14:11:01.213488654Z
13067,1677420661233603990,2023-02-26T14:11:01.233603990Z
12959,1677420661253722113,2023-02-26T14:11:01.253722113Z
12867,1677420661273838511,2023-02-26T14:11:01.273838511Z
12793,1677420661293953668,2023-02-26T14:11:01.293953668Z
12736,1677420661314081776,2023-02-26T14:11:01.314081776Z
12699,1677420661334198149,2023-02-26T14:11:01.334198149Z
12679,1677420661354317801,2023-02-26T14:11:01.354317801Z
12675,1677420661374435692,2023-02-26T14:11:01.374435692Z
12690,1677420661394552687,2023-02-26T14:11:01.394552687Z
12723,1677420661414671977,2023-02-26T14:11:01.414671977Z
12773,1677420661434803122,2023-02-26T14:11:01.434803122Z
12841,1677420661454918788,2023-02-26T14:11:01.454918788Z
12927,1677420661475038413,2023-02-26T14:11:01.475038413Z
13029,1677420661495114112,2023-02-26T14:11:01.495114112Z
13147,1677420661515322552,2023-02-26T14:11:01.515322552Z
13283,1677420661535382192,2023-02-26T14:11:01.535382192Z
13433,1677420661555449832,2023-02-26T14:11:01.555449832Z
13598,1677420661575583899,2023-02-26T14:11:01.575583899Z
13781,1677420661595702636,2023-02-26T14:11:01.595702636Z
13982,1677420661615817119,2023-02-26T14:11:01.615817119Z
14193,1677420661635869015,2023-02-26T14:11:01.635869015Z
14415,1677420661656025806,2023-02-26T14:11:01.656025806Z
14649,1677420661676157160,2023-02-26T14:11:01.676157160Z
14896,1677420661696231314,2023-02-26T14:11:01.696231314Z
15153,1677420661716367798,2023-02-26T14:11:01.716367798Z
