Sample set for CW rotation start at Horizontal plane
Position, Epoch time ns, ISO8601
12273,1677420769828739878,2023-02-26T14:12:49.828739878Z
12273,1677420769844717766,2023-02-26T14:12:49.844717766Z
12273,1677420769860710572,2023-02-26T14:12:49.860710572Z
12273,1677420769876678944,2023-02-26T14:12:49.876678944Z
12273,1677420769908720298,2023-02-26T14:12:49.908720298Z
12272,1677420769924742474,2023-02-26T14:12:49.924742474Z
12273,1677420769940735090,2023-02-26T14:12:49.940735090Z
12273,1677420769956707281,2023-02-26T14:12:49.956707281Z
12273,1677420769988742080,2023-02-26T14:12:49.988742080Z
12273,1677420770004564772,2023-02-26T14:12:50.004564772Z
12273,1677420770020566882,2023-02-26T14:12:50.020566882Z
12273,1677420770036554653,2023-02-26T14:12:50.036554653Z
12273,1677420770068588198,2023-02-26T14:12:50.068588198Z
12273,1677420770084609432,2023-02-26T14:12:50.084609432Z
12273,1677420770100540146,2023-02-26T14:12:50.100540146Z
12273,1677420770116584923,2023-02-26T14:12:50.116584923Z
12273,1677420770148536711,2023-02-26T14:12:50.148536711Z
12273,1677420770164591021,2023-02-26T14:12:50.164591021Z
12272,1677420770180582958,2023-02-26T14:12:50.180582958Z
12276,1677420770212461416,2023-02-26T14:12:50.212461416Z
12288,1677420770228450953,2023-02-26T14:12:50.228450953Z
12316,1677420770244449085,2023-02-26T14:12:50.244449085Z
12364,1677420770260427484,2023-02-26T14:12:50.260427484Z
12430,1677420770292452022,2023-02-26T14:12:50.292452022Z
12510,1677420770308456813,2023-02-26T14:12:50.308456813Z
12608,1677420770324460949,2023-02-26T14:12:50.324460949Z
12726,1677420770340443459,2023-02-26T14:12:50.340443459Z
12863,1677420770372380702,2023-02-26T14:12:50.372380702Z
13016,1677420770388461863,2023-02-26T14:12:50.388461863Z
13182,1677420770404345949,2023-02-26T14:12:50.404345949Z
13366,1677420770420435372,2023-02-26T14:12:50.420435372Z
13565,1677420770452407003,2023-02-26T14:12:50.452407003Z
13779,1677420770468348073,2023-02-26T14:12:50.468348073Z
14013,1677420770484359751,2023-02-26T14:12:50.484359751Z
14257,1677420770500323680,2023-02-26T14:12:50.500323680Z
14513,1677420770532347247,2023-02-26T14:12:50.532347247Z
14778,1677420770548353096,2023-02-26T14:12:50.548353096Z
15056,1677420770564337346,2023-02-26T14:12:50.564337346Z
15341,1677420770580300004,2023-02-26T14:12:50.580300004Z
15630,1677420770612350097,2023-02-26T14:12:50.612350097Z
15923,1677420770628268805,2023-02-26T14:12:50.628268805Z
16224,1677420770644267352,2023-02-26T14:12:50.644267352Z
138,1677420770660253101,2023-02-26T14:12:50.660253101Z
432,1677420770692317211,2023-02-26T14:12:50.692317211Z
726,1677420770708247352,2023-02-26T14:12:50.708247352Z
1014,1677420770724249814,2023-02-26T14:12:50.724249814Z
1292,1677420770740256040,2023-02-26T14:12:50.740256040Z
1560,1677420770772425644,2023-02-26T14:12:50.772425644Z
1823,1677420770788278647,2023-02-26T14:12:50.788278647Z
2072,1677420770804267134,2023-02-26T14:12:50.804267134Z
2306,1677420770836155485,2023-02-26T14:12:50.836155485Z
2523,1677420770852151498,2023-02-26T14:12:50.852151498Z
2730,1677420770868163136,2023-02-26T14:12:50.868163136Z
2923,1677420770884204894,2023-02-26T14:12:50.884204894Z
3096,1677420770916116375,2023-02-26T14:12:50.916116375Z
3251,1677420770932135460,2023-02-26T14:12:50.932135460Z
3390,1677420770948134247,2023-02-26T14:12:50.948134247Z
3511,1677420770964085332,2023-02-26T14:12:50.964085332Z
3616,1677420770996126815,2023-02-26T14:12:50.996126815Z
3703,1677420771012067792,2023-02-26T14:12:51.012067792Z
3773,1677420771028066313,2023-02-26T14:12:51.028066313Z
3824,1677420771044069208,2023-02-26T14:12:51.044069208Z
3859,1677420771076044419,2023-02-26T14:12:51.076044419Z
3874,1677420771092061471,2023-02-26T14:12:51.092061471Z
3873,1677420771108038112,2023-02-26T14:12:51.108038112Z
3854,1677420771124043220,2023-02-26T14:12:51.124043220Z
3816,1677420771156059228,2023-02-26T14:12:51.156059228Z
3762,1677420771172030827,2023-02-26T14:12:51.172030827Z
3689,1677420771188034046,2023-02-26T14:12:51.188034046Z
3597,1677420771204009127,2023-02-26T14:12:51.204009127Z
3491,1677420771236024988,2023-02-26T14:12:51.236024988Z
3368,1677420771252022207,2023-02-26T14:12:51.252022207Z
3230,1677420771267952076,2023-02-26T14:12:51.267952076Z
3071,1677420771283957908,2023-02-26T14:12:51.283957908Z
2896,1677420771315907410,2023-02-26T14:12:51.315907410Z
2707,1677420771331930751,2023-02-26T14:12:51.331930751Z
2503,1677420771347932234,2023-02-26T14:12:51.347932234Z
2286,1677420771363969475,2023-02-26T14:12:51.363969475Z
2055,1677420771395932557,2023-02-26T14:12:51.395932557Z
1811,1677420771411855362,2023-02-26T14:12:51.411855362Z
1553,1677420771427903628,2023-02-26T14:12:51.427903628Z
1290,1677420771443848341,2023-02-26T14:12:51.443848341Z
1019,1677420771475927906,2023-02-26T14:12:51.475927906Z
