Sample set for CW rotation start at Horizontal plane
Position, Epoch time ns, ISO8601
15062,1679414812766737332,2023-03-21T16:06:52.766737332Z
15081,1679414812798740440,2023-03-21T16:06:52.798740440Z
15109,1679414812814739650,2023-03-21T16:06:52.814739650Z
15144,1679414812830731441,2023-03-21T16:06:52.830731441Z
15188,1679414812862701624,2023-03-21T16:06:52.862701624Z
15240,1679414812878637293,2023-03-21T16:06:52.878637293Z
15298,1679414812894623625,2023-03-21T16:06:52.894623625Z
15364,1679414812910699156,2023-03-21T16:06:52.910699156Z
15437,1679414812942536275,2023-03-21T16:06:52.942536275Z
15515,1679414812958593833,2023-03-21T16:06:52.958593833Z
15599,1679414812974521816,2023-03-21T16:06:52.974521816Z
15687,1679414812990526053,2023-03-21T16:06:52.990526053Z
15781,1679414813022498720,2023-03-21T16:06:53.022498720Z
15879,1679414813038443096,2023-03-21T16:06:53.038443096Z
15981,1679414813054518729,2023-03-21T16:06:53.054518729Z
16087,1679414813070437556,2023-03-21T16:06:53.070437556Z
16192,1679414813102409880,2023-03-21T16:06:53.102409880Z
16300,1679414813118471636,2023-03-21T16:06:53.118471636Z
23,1679414813134378386,2023-03-21T16:06:53.134378386Z
130,1679414813150449784,2023-03-21T16:06:53.150449784Z
235,1679414813182324687,2023-03-21T16:06:53.182324687Z
338,1679414813198382729,2023-03-21T16:06:53.198382729Z
439,1679414813214297184,2023-03-21T16:06:53.214297184Z
538,1679414813230260119,2023-03-21T16:06:53.230260119Z
634,1679414813262301914,2023-03-21T16:06:53.262301914Z
726,1679414813278216510,2023-03-21T16:06:53.278216510Z
810,1679414813294302793,2023-03-21T16:06:53.294302793Z
891,1679414813310211752,2023-03-21T16:06:53.310211752Z
965,1679414813342172060,2023-03-21T16:06:53.342172060Z
1032,1679414813358209384,2023-03-21T16:06:53.358209384Z
1092,1679414813374194784,2023-03-21T16:06:53.374194784Z
1145,1679414813390170384,2023-03-21T16:06:53.390170384Z
1190,1679414813422165793,2023-03-21T16:06:53.422165793Z
1227,1679414813438175707,2023-03-21T16:06:53.438175707Z
1256,1679414813454093454,2023-03-21T16:06:53.454093454Z
1276,1679414813470090284,2023-03-21T16:06:53.470090284Z
1289,1679414813502086236,2023-03-21T16:06:53.502086236Z
1293,1679414813518052269,2023-03-21T16:06:53.518052269Z
1288,1679414813534020551,2023-03-21T16:06:53.534020551Z
1276,1679414813565961852,2023-03-21T16:06:53.565961852Z
1255,1679414813581966246,2023-03-21T16:06:53.581966246Z
1226,1679414813597985310,2023-03-21T16:06:53.597985310Z
1189,1679414813614001166,2023-03-21T16:06:53.614001166Z
1144,1679414813645901774,2023-03-21T16:06:53.645901774Z
1092,1679414813661882966,2023-03-21T16:06:53.661882966Z
1032,1679414813677862253,2023-03-21T16:06:53.677862253Z
966,1679414813693904004,2023-03-21T16:06:53.693904004Z
892,1679414813725873752,2023-03-21T16:06:53.725873752Z
812,1679414813741866972,2023-03-21T16:06:53.741866972Z
728,1679414813757899649,2023-03-21T16:06:53.757899649Z
638,1679414813773795761,2023-03-21T16:06:53.773795761Z
544,1679414813805796551,2023-03-21T16:06:53.805796551Z
