Sample set for CW rotation start at Horizontal plane
Position, Epoch time ns, ISO8601
12280,1679414586020157993,2023-03-21T16:03:06.020157993Z
12280,1679414586052160637,2023-03-21T16:03:06.052160637Z
12280,1679414586068169663,2023-03-21T16:03:06.068169663Z
12280,1679414586084174560,2023-03-21T16:03:06.084174560Z
12280,1679414586100160406,2023-03-21T16:03:06.100160406Z
12280,1679414586132084311,2023-03-21T16:03:06.132084311Z
12280,1679414586148059666,2023-03-21T16:03:06.148059666Z
12280,1679414586164121544,2023-03-21T16:03:06.164121544Z
12280,1679414586196024877,2023-03-21T16:03:06.196024877Z
12280,1679414586212051769,2023-03-21T16:03:06.212051769Z
12280,1679414586228041028,2023-03-21T16:03:06.228041028Z
12280,1679414586244019293,2023-03-21T16:03:06.244019293Z
12280,1679414586275956155,2023-03-21T16:03:06.275956155Z
12279,1679414586291944517,2023-03-21T16:03:06.291944517Z
12279,1679414586307938587,2023-03-21T16:03:06.307938587Z
12280,1679414586323919798,2023-03-21T16:03:06.323919798Z
12280,1679414586355941770,2023-03-21T16:03:06.355941770Z
12279,1679414586371921974,2023-03-21T16:03:06.371921974Z
12280,1679414586387839711,2023-03-21T16:03:06.387839711Z
12279,1679414586403829567,2023-03-21T16:03:06.403829567Z
12280,1679414586435841426,2023-03-21T16:03:06.435841426Z
12280,1679414586451843411,2023-03-21T16:03:06.451843411Z
12279,1679414586467753364,2023-03-21T16:03:06.467753364Z
12279,1679414586483807171,2023-03-21T16:03:06.483807171Z
12280,1679414586515737483,2023-03-21T16:03:06.515737483Z
12279,1679414586531741494,2023-03-21T16:03:06.531741494Z
12279,1679414586547736862,2023-03-21T16:03:06.547736862Z
12279,1679414586563660686,2023-03-21T16:03:06.563660686Z
12279,1679414586595628430,2023-03-21T16:03:06.595628430Z
12280,1679414586611650500,2023-03-21T16:03:06.611650500Z
12280,1679414586627621750,2023-03-21T16:03:06.627621750Z
12280,1679414586643569528,2023-03-21T16:03:06.643569528Z
12280,1679414586675532580,2023-03-21T16:03:06.675532580Z
12280,1679414586691532917,2023-03-21T16:03:06.691532917Z
12280,1679414586707507376,2023-03-21T16:03:06.707507376Z
12280,1679414586723466293,2023-03-21T16:03:06.723466293Z
12280,1679414586755449280,2023-03-21T16:03:06.755449280Z
12280,1679414586771425345,2023-03-21T16:03:06.771425345Z
12279,1679414586787458405,2023-03-21T16:03:06.787458405Z
12280,1679414586803424697,2023-03-21T16:03:06.803424697Z
12280,1679414586835327494,2023-03-21T16:03:06.835327494Z
12280,1679414586851334208,2023-03-21T16:03:06.851334208Z
