Sample set for CW rotation start at Horizontal plane
Position, Epoch time ns, ISO8601
12246,1677420551092741208,2023-02-26T14:09:11.092741208Z
12260,1677420551108769887,2023-02-26T14:09:11.108769887Z
12293,1677420551140746395,2023-02-26T14:09:11.140746395Z
12343,1677420551156714642,2023-02-26T14:09:11.156714642Z
12411,1677420551172645374,2023-02-26T14:09:11.172645374Z
12496,1677420551188665673,2023-02-26T14:09:11.188665673Z
12598,1677420551220682058,2023-02-26T14:09:11.220682058Z
12719,1677420551236638336,2023-02-26T14:09:11.236638336Z
12860,1677420551252620019,2023-02-26T14:09:11.252620019Z
13017,1677420551268626877,2023-02-26T14:09:11.268626877Z
13189,1677420551300567473,2023-02-26T14:09:11.300567473Z
13376,1677420551316627355,2023-02-26T14:09:11.316627355Z
13580,1677420551332623067,2023-02-26T14:09:11.332623067Z
13799,1677420551348669982,2023-02-26T14:09:11.348669982Z
14036,1677420551380597138,2023-02-26T14:09:11.380597138Z
14284,1677420551396496616,2023-02-26T14:09:11.396496616Z
14541,1677420551412526053,2023-02-26T14:09:11.412526053Z
14812,1677420551428583526,2023-02-26T14:09:11.428583526Z
15095,1677420551460527072,2023-02-26T14:09:11.460527072Z
15382,1677420551476532601,2023-02-26T14:09:11.476532601Z
15675,1677420551492541079,2023-02-26T14:09:11.492541079Z
15974,1677420551508506090,2023-02-26T14:09:11.508506090Z
16275,1677420551540508748,2023-02-26T14:09:11.540508748Z
192,1677420551556453530,2023-02-26T14:09:11.556453530Z
487,1677420551572466801,2023-02-26T14:09:11.572466801Z
784,1677420551588483254,2023-02-26T14:09:11.588483254Z
1073,1677420551620416537,2023-02-26T14:09:11.620416537Z
1349,1677420551636448788,2023-02-26T14:09:11.636448788Z
1620,1677420551652464226,2023-02-26T14:09:11.652464226Z
1882,1677420551668427440,2023-02-26T14:09:11.668427440Z
2129,1677420551700450568,2023-02-26T14:09:11.700450568Z
2361,1677420551716364484,2023-02-26T14:09:11.716364484Z
2581,1677420551732377988,2023-02-26T14:09:11.732377988Z
2786,1677420551748420061,2023-02-26T14:09:11.748420061Z
2975,1677420551780383674,2023-02-26T14:09:11.780383674Z
3147,1677420551796397307,2023-02-26T14:09:11.796397307Z
3302,1677420551812416834,2023-02-26T14:09:11.812416834Z
3437,1677420551844312623,2023-02-26T14:09:11.844312623Z
3558,1677420551860311466,2023-02-26T14:09:11.860311466Z
3660,1677420551876328933,2023-02-26T14:09:11.876328933Z
3747,1677420551892330660,2023-02-26T14:09:11.892330660Z
3814,1677420551924345390,2023-02-26T14:09:11.924345390Z
3864,1677420551940311377,2023-02-26T14:09:11.940311377Z
3896,1677420551956313213,2023-02-26T14:09:11.956313213Z
3911,1677420551972317025,2023-02-26T14:09:11.972317025Z
3907,1677420552004360257,2023-02-26T14:09:12.004360257Z
3886,1677420552020332692,2023-02-26T14:09:12.020332692Z
3847,1677420552036338362,2023-02-26T14:09:12.036338362Z
3790,1677420552052330933,2023-02-26T14:09:12.052330933Z
3716,1677420552084248206,2023-02-26T14:09:12.084248206Z
3623,1677420552100213463,2023-02-26T14:09:12.100213463Z
3514,1677420552116295432,2023-02-26T14:09:12.116295432Z
3389,1677420552132225352,2023-02-26T14:09:12.132225352Z
3247,1677420552164151617,2023-02-26T14:09:12.164151617Z
3088,1677420552180157944,2023-02-26T14:09:12.180157944Z
2912,1677420552196191091,2023-02-26T14:09:12.196191091Z
2719,1677420552212141178,2023-02-26T14:09:12.212141178Z
2511,1677420552244212538,2023-02-26T14:09:12.244212538Z
2292,1677420552260153898,2023-02-26T14:09:12.260153898Z
2060,1677420552276156524,2023-02-26T14:09:12.276156524Z
1813,1677420552292119493,2023-02-26T14:09:12.292119493Z
1552,1677420552324171132,2023-02-26T14:09:12.324171132Z
1287,1677420552340078055,2023-02-26T14:09:12.340078055Z
1015,1677420552356109372,2023-02-26T14:09:12.356109372Z
732,1677420552372104956,2023-02-26T14:09:12.372104956Z
447,1677420552404094709,2023-02-26T14:09:12.404094709Z
163,1677420552420054221,2023-02-26T14:09:12.420054221Z
16260,1677420552436058128,2023-02-26T14:09:12.436058128Z
15973,1677420552468049349,2023-02-26T14:09:12.468049349Z
15690,1677420552484025485,2023-02-26T14:09:12.484025485Z
15415,1677420552500045354,2023-02-26T14:09:12.500045354Z
15147,1677420552516038269,2023-02-26T14:09:12.516038269Z
14883,1677420552547978776,2023-02-26T14:09:12.547978776Z
14633,1677420552563970563,2023-02-26T14:09:12.563970563Z
14396,1677420552580016307,2023-02-26T14:09:12.580016307Z
14170,1677420552596016185,2023-02-26T14:09:12.596016185Z
13955,1677420552627945373,2023-02-26T14:09:12.627945373Z
13756,1677420552643918581,2023-02-26T14:09:12.643918581Z
13573,1677420552659981936,2023-02-26T14:09:12.659981936Z
13407,1677420552675975522,2023-02-26T14:09:12.675975522Z
13258,1677420552707966622,2023-02-26T14:09:12.707966622Z
13125,1677420552723917603,2023-02-26T14:09:12.723917603Z
13008,1677420552739944061,2023-02-26T14:09:12.739944061Z
12907,1677420552755939632,2023-02-26T14:09:12.755939632Z
12825,1677420552787949699,2023-02-26T14:09:12.787949699Z
12760,1677420552803950601,2023-02-26T14:09:12.803950601Z
12713,1677420552819910226,2023-02-26T14:09:12.819910226Z
12684,1677420552835872752,2023-02-26T14:09:12.835872752Z
12672,1677420552867857312,2023-02-26T14:09:12.867857312Z
12678,1677420552883815906,2023-02-26T14:09:12.883815906Z
