Sample set for CW rotation start at Horizontal plane
Position, Epoch time ns, ISO8601
12264,1677424062426916593,2023-02-26T15:07:42.426916593Z
12265,1677424062442909320,2023-02-26T15:07:42.442909320Z
12264,1677424062458944914,2023-02-26T15:07:42.458944914Z
12265,1677424062474904616,2023-02-26T15:07:42.474904616Z
12265,1677424062506912954,2023-02-26T15:07:42.506912954Z
12265,1677424062522882750,2023-02-26T15:07:42.522882750Z
12264,1677424062538877702,2023-02-26T15:07:42.538877702Z
12265,1677424062554880900,2023-02-26T15:07:42.554880900Z
12264,1677424062586870564,2023-02-26T15:07:42.586870564Z
12265,1677424062602873676,2023-02-26T15:07:42.602873676Z
12264,1677424062618867622,2023-02-26T15:07:42.618867622Z
12264,1677424062634878966,2023-02-26T15:07:42.634878966Z
12264,1677424062666723516,2023-02-26T15:07:42.666723516Z
12264,1677424062682785376,2023-02-26T15:07:42.682785376Z
12265,1677424062698811774,2023-02-26T15:07:42.698811774Z
12265,1677424062714800101,2023-02-26T15:07:42.714800101Z
12264,1677424062746747210,2023-02-26T15:07:42.746747210Z
12264,1677424062762735594,2023-02-26T15:07:42.762735594Z
12264,1677424062778858847,2023-02-26T15:07:42.778858847Z
12264,1677424062794836569,2023-02-26T15:07:42.794836569Z
12264,1677424062826741873,2023-02-26T15:07:42.826741873Z
12264,1677424062842738112,2023-02-26T15:07:42.842738112Z
12264,1677424062858748267,2023-02-26T15:07:42.858748267Z
12264,1677424062890708840,2023-02-26T15:07:42.890708840Z
12264,1677424062906710111,2023-02-26T15:07:42.906710111Z
12264,1677424062922689939,2023-02-26T15:07:42.922689939Z
12264,1677424062938639944,2023-02-26T15:07:42.938639944Z
12264,1677424062970686626,2023-02-26T15:07:42.970686626Z
12265,1677424062986611204,2023-02-26T15:07:42.986611204Z
12265,1677424063002612260,2023-02-26T15:07:43.002612260Z
12264,1677424063018617386,2023-02-26T15:07:43.018617386Z
12265,1677424063050560500,2023-02-26T15:07:43.050560500Z
12264,1677424063066601350,2023-02-26T15:07:43.066601350Z
12264,1677424063082618486,2023-02-26T15:07:43.082618486Z
12264,1677424063098602635,2023-02-26T15:07:43.098602635Z
12264,1677424063130599826,2023-02-26T15:07:43.130599826Z
12264,1677424063146568419,2023-02-26T15:07:43.146568419Z
12264,1677424063162504648,2023-02-26T15:07:43.162504648Z
12264,1677424063178640105,2023-02-26T15:07:43.178640105Z
12264,1677424063210546652,2023-02-26T15:07:43.210546652Z
12264,1677424063226553807,2023-02-26T15:07:43.226553807Z
12264,1677424063242513108,2023-02-26T15:07:43.242513108Z
12264,1677424063258506898,2023-02-26T15:07:43.258506898Z
12264,1677424063290511965,2023-02-26T15:07:43.290511965Z
12264,1677424063306453925,2023-02-26T15:07:43.306453925Z
12264,1677424063322492181,2023-02-26T15:07:43.322492181Z
12264,1677424063338479735,2023-02-26T15:07:43.338479735Z
12264,1677424063370471277,2023-02-26T15:07:43.370471277Z
12264,1677424063386396517,2023-02-26T15:07:43.386396517Z
12264,1677424063402448247,2023-02-26T15:07:43.402448247Z
12264,1677424063418443335,2023-02-26T15:07:43.418443335Z
12264,1677424063450376780,2023-02-26T15:07:43.450376780Z
12263,1677424063466390382,2023-02-26T15:07:43.466390382Z
12264,1677424063482373181,2023-02-26T15:07:43.482373181Z
12264,1677424063514381196,2023-02-26T15:07:43.514381196Z
12264,1677424063530322879,2023-02-26T15:07:43.530322879Z
12264,1677424063546360307,2023-02-26T15:07:43.546360307Z
12264,1677424063562358319,2023-02-26T15:07:43.562358319Z
12264,1677424063594332614,2023-02-26T15:07:43.594332614Z
12265,1677424063610274904,2023-02-26T15:07:43.610274904Z
12264,1677424063626328215,2023-02-26T15:07:43.626328215Z
12265,1677424063642308389,2023-02-26T15:07:43.642308389Z
12265,1677424063674261717,2023-02-26T15:07:43.674261717Z
12265,1677424063690220043,2023-02-26T15:07:43.690220043Z
12264,1677424063706346138,2023-02-26T15:07:43.706346138Z
12264,1677424063722267838,2023-02-26T15:07:43.722267838Z
12265,1677424063754234685,2023-02-26T15:07:43.754234685Z
12265,1677424063770194109,2023-02-26T15:07:43.770194109Z
12265,1677424063786247798,2023-02-26T15:07:43.786247798Z
12265,1677424063802254139,2023-02-26T15:07:43.802254139Z
12264,1677424063834232625,2023-02-26T15:07:43.834232625Z
12264,1677424063850202721,2023-02-26T15:07:43.850202721Z
12265,1677424063866151312,2023-02-26T15:07:43.866151312Z
12265,1677424063882176398,2023-02-26T15:07:43.882176398Z
12265,1677424063914154799,2023-02-26T15:07:43.914154799Z
12265,1677424063930144225,2023-02-26T15:07:43.930144225Z
12265,1677424063946160726,2023-02-26T15:07:43.946160726Z
12264,1677424063962126793,2023-02-26T15:07:43.962126793Z
12265,1677424063994109026,2023-02-26T15:07:43.994109026Z
12265,1677424064010091128,2023-02-26T15:07:44.010091128Z
12265,1677424064026072047,2023-02-26T15:07:44.026072047Z
12265,1677424064042126721,2023-02-26T15:07:44.042126721Z
12264,1677424064074089565,2023-02-26T15:07:44.074089565Z
12265,1677424064090104019,2023-02-26T15:07:44.090104019Z
12265,1677424064106105521,2023-02-26T15:07:44.106105521Z
12265,1677424064122164554,2023-02-26T15:07:44.122164554Z
12265,1677424064154011050,2023-02-26T15:07:44.154011050Z
12264,1677424064169988138,2023-02-26T15:07:44.169988138Z
12265,1677424064186049552,2023-02-26T15:07:44.186049552Z
12265,1677424064218052627,2023-02-26T15:07:44.218052627Z
12265,1677424064233977995,2023-02-26T15:07:44.233977995Z
12265,1677424064249979971,2023-02-26T15:07:44.249979971Z
12265,1677424064265992675,2023-02-26T15:07:44.265992675Z
12264,1677424064297937378,2023-02-26T15:07:44.297937378Z
12264,1677424064313948927,2023-02-26T15:07:44.313948927Z
12265,1677424064329943043,2023-02-26T15:07:44.329943043Z
12265,1677424064345908672,2023-02-26T15:07:44.345908672Z
12265,1677424064377882563,2023-02-26T15:07:44.377882563Z
12265,1677424064393885454,2023-02-26T15:07:44.393885454Z
12265,1677424064409897229,2023-02-26T15:07:44.409897229Z
12265,1677424064425879880,2023-02-26T15:07:44.425879880Z
12265,1677424064457857306,2023-02-26T15:07:44.457857306Z
12275,1677424064473859449,2023-02-26T15:07:44.473859449Z
12298,1677424064489847596,2023-02-26T15:07:44.489847596Z
12339,1677424064505870954,2023-02-26T15:07:44.505870954Z
12398,1677424064537832543,2023-02-26T15:07:44.537832543Z
12473,1677424064553844484,2023-02-26T15:07:44.553844484Z
12565,1677424064569860995,2023-02-26T15:07:44.569860995Z
12676,1677424064585820136,2023-02-26T15:07:44.585820136Z
12806,1677424064617803160,2023-02-26T15:07:44.617803160Z
12954,1677424064633786380,2023-02-26T15:07:44.633786380Z
13117,1677424064649788214,2023-02-26T15:07:44.649788214Z
13294,1677424064665765249,2023-02-26T15:07:44.665765249Z
13488,1677424064697806402,2023-02-26T15:07:44.697806402Z
13696,1677424064713781262,2023-02-26T15:07:44.713781262Z
13925,1677424064729755478,2023-02-26T15:07:44.729755478Z
14166,1677424064745715538,2023-02-26T15:07:44.745715538Z
14417,1677424064777737429,2023-02-26T15:07:44.777737429Z
14680,1677424064793754203,2023-02-26T15:07:44.793754203Z
14956,1677424064809746762,2023-02-26T15:07:44.809746762Z
15238,1677424064825737668,2023-02-26T15:07:44.825737668Z
15527,1677424064857747405,2023-02-26T15:07:44.857747405Z
15820,1677424064873748088,2023-02-26T15:07:44.873748088Z
16121,1677424064889757387,2023-02-26T15:07:44.889757387Z
36,1677424064921729922,2023-02-26T15:07:44.921729922Z
330,1677424064937647602,2023-02-26T15:07:44.937647602Z
624,1677424064953735275,2023-02-26T15:07:44.953735275Z
918,1677424064969726642,2023-02-26T15:07:44.969726642Z
1201,1677424065001579791,2023-02-26T15:07:45.001579791Z
1472,1677424065017571916,2023-02-26T15:07:45.017571916Z
1738,1677424065033644669,2023-02-26T15:07:45.033644669Z
1993,1677424065049599709,2023-02-26T15:07:45.049599709Z
2234,1677424065081568843,2023-02-26T15:07:45.081568843Z
2456,1677424065097545323,2023-02-26T15:07:45.097545323Z
2668,1677424065113567395,2023-02-26T15:07:45.113567395Z
2866,1677424065129540850,2023-02-26T15:07:45.129540850Z
3047,1677424065161495860,2023-02-26T15:07:45.161495860Z
3210,1677424065177493076,2023-02-26T15:07:45.177493076Z
3353,1677424065193532992,2023-02-26T15:07:45.193532992Z
3482,1677424065209544776,2023-02-26T15:07:45.209544776Z
3593,1677424065241528821,2023-02-26T15:07:45.241528821Z
3687,1677424065257524669,2023-02-26T15:07:45.257524669Z
3764,1677424065273505979,2023-02-26T15:07:45.273505979Z
3822,1677424065289507181,2023-02-26T15:07:45.289507181Z
3863,1677424065321488270,2023-02-26T15:07:45.321488270Z
3886,1677424065337393294,2023-02-26T15:07:45.337393294Z
3891,1677424065353465364,2023-02-26T15:07:45.353465364Z
3878,1677424065369461454,2023-02-26T15:07:45.369461454Z
3849,1677424065401429498,2023-02-26T15:07:45.401429498Z
3801,1677424065417419824,2023-02-26T15:07:45.417419824Z
3735,1677424065433393537,2023-02-26T15:07:45.433393537Z
3652,1677424065449363449,2023-02-26T15:07:45.449363449Z
3550,1677424065481346744,2023-02-26T15:07:45.481346744Z
3433,1677424065497352020,2023-02-26T15:07:45.497352020Z
3299,1677424065513345551,2023-02-26T15:07:45.513345551Z
3148,1677424065545296877,2023-02-26T15:07:45.545296877Z
2981,1677424065561330971,2023-02-26T15:07:45.561330971Z
2796,1677424065577334129,2023-02-26T15:07:45.577334129Z
2596,1677424065593395686,2023-02-26T15:07:45.593395686Z
2383,1677424065625313957,2023-02-26T15:07:45.625313957Z
2158,1677424065641262812,2023-02-26T15:07:45.641262812Z
1920,1677424065657278524,2023-02-26T15:07:45.657278524Z
1666,1677424065673285747,2023-02-26T15:07:45.673285747Z
1403,1677424065705254381,2023-02-26T15:07:45.705254381Z
1137,1677424065721253565,2023-02-26T15:07:45.721253565Z
861,1677424065737263835,2023-02-26T15:07:45.737263835Z
577,1677424065753232548,2023-02-26T15:07:45.753232548Z
292,1677424065785200719,2023-02-26T15:07:45.785200719Z
7,1677424065801192242,2023-02-26T15:07:45.801192242Z
16106,1677424065817224643,2023-02-26T15:07:45.817224643Z
15819,1677424065833226503,2023-02-26T15:07:45.833226503Z
15543,1677424065865202599,2023-02-26T15:07:45.865202599Z
15272,1677424065881154516,2023-02-26T15:07:45.881154516Z
15009,1677424065897159256,2023-02-26T15:07:45.897159256Z
14752,1677424065913127800,2023-02-26T15:07:45.913127800Z
14509,1677424065945091854,2023-02-26T15:07:45.945091854Z
14280,1677424065961103709,2023-02-26T15:07:45.961103709Z
14062,1677424065977144429,2023-02-26T15:07:45.977144429Z
13854,1677424065993150112,2023-02-26T15:07:45.993150112Z
13664,1677424066025122037,2023-02-26T15:07:46.025122037Z
13493,1677424066041118416,2023-02-26T15:07:46.041118416Z
13335,1677424066057092122,2023-02-26T15:07:46.057092122Z
13195,1677424066073093589,2023-02-26T15:07:46.073093589Z
13072,1677424066105077720,2023-02-26T15:07:46.105077720Z
12966,1677424066121091092,2023-02-26T15:07:46.121091092Z
12875,1677424066137020912,2023-02-26T15:07:46.137020912Z
12802,1677424066152971844,2023-02-26T15:07:46.152971844Z
12747,1677424066185031734,2023-02-26T15:07:46.185031734Z
12711,1677424066201032085,2023-02-26T15:07:46.201032085Z
12691,1677424066216976071,2023-02-26T15:07:46.216976071Z
12690,1677424066248980806,2023-02-26T15:07:46.248980806Z
12706,1677424066264954256,2023-02-26T15:07:46.264954256Z
12740,1677424066280975569,2023-02-26T15:07:46.280975569Z
12792,1677424066296893377,2023-02-26T15:07:46.296893377Z
12862,1677424066328903442,2023-02-26T15:07:46.328903442Z
12949,1677424066344946680,2023-02-26T15:07:46.344946680Z
13051,1677424066360939783,2023-02-26T15:07:46.360939783Z
13171,1677424066376944622,2023-02-26T15:07:46.376944622Z
13307,1677424066408954150,2023-02-26T15:07:46.408954150Z
13458,1677424066424893042,2023-02-26T15:07:46.424893042Z
13626,1677424066440852766,2023-02-26T15:07:46.440852766Z
13809,1677424066456849080,2023-02-26T15:07:46.456849080Z
14011,1677424066488836278,2023-02-26T15:07:46.488836278Z
14222,1677424066504829092,2023-02-26T15:07:46.504829092Z
14446,1677424066520837695,2023-02-26T15:07:46.520837695Z
14680,1677424066536846439,2023-02-26T15:07:46.536846439Z
14927,1677424066568774443,2023-02-26T15:07:46.568774443Z
15184,1677424066584829414,2023-02-26T15:07:46.584829414Z
15446,1677424066600842262,2023-02-26T15:07:46.600842262Z
15712,1677424066616813167,2023-02-26T15:07:46.616813167Z
15984,1677424066648745959,2023-02-26T15:07:46.648745959Z
16259,1677424066664753110,2023-02-26T15:07:46.664753110Z
147,1677424066680738629,2023-02-26T15:07:46.680738629Z
418,1677424066696728382,2023-02-26T15:07:46.696728382Z
689,1677424066728752255,2023-02-26T15:07:46.728752255Z
954,1677424066744751741,2023-02-26T15:07:46.744751741Z
1210,1677424066760749607,2023-02-26T15:07:46.760749607Z
1456,1677424066776731771,2023-02-26T15:07:46.776731771Z
1695,1677424066808712010,2023-02-26T15:07:46.808712010Z
1924,1677424066824696117,2023-02-26T15:07:46.824696117Z
2139,1677424066840718696,2023-02-26T15:07:46.840718696Z
35,1677424066856713218,2023-02-26T15:07:46.856713218Z
