Sample set for CW rotation start at Horizontal plane
Position, Epoch time ns, ISO8601
14809,1679415411722960660,2023-03-21T16:16:51.722960660Z
14884,1679415411738938864,2023-03-21T16:16:51.738938864Z
14969,1679415411770914133,2023-03-21T16:16:51.770914133Z
15063,1679415411786867965,2023-03-21T16:16:51.786867965Z
15164,1679415411802866520,2023-03-21T16:16:51.802866520Z
15274,1679415411818842921,2023-03-21T16:16:51.818842921Z
15389,1679415411850843335,2023-03-21T16:16:51.850843335Z
15512,1679415411866841370,2023-03-21T16:16:51.866841370Z
15639,1679415411882821695,2023-03-21T16:16:51.882821695Z
15772,1679415411898865195,2023-03-21T16:16:51.898865195Z
15910,1679415411930720629,2023-03-21T16:16:51.930720629Z
16052,1679415411946717595,2023-03-21T16:16:51.946717595Z
16194,1679415411962739072,2023-03-21T16:16:51.962739072Z
16338,1679415411978741502,2023-03-21T16:16:51.978741502Z
97,1679415412010616545,2023-03-21T16:16:52.010616545Z
238,1679415412026591773,2023-03-21T16:16:52.026591773Z
377,1679415412042534713,2023-03-21T16:16:52.042534713Z
516,1679415412058536429,2023-03-21T16:16:52.058536429Z
650,1679415412090525914,2023-03-21T16:16:52.090525914Z
783,1679415412106489736,2023-03-21T16:16:52.106489736Z
907,1679415412122496024,2023-03-21T16:16:52.122496024Z
1026,1679415412138465780,2023-03-21T16:16:52.138465780Z
1136,1679415412170410825,2023-03-21T16:16:52.170410825Z
1238,1679415412186466387,2023-03-21T16:16:52.186466387Z
1332,1679415412202418899,2023-03-21T16:16:52.202418899Z
1418,1679415412218433485,2023-03-21T16:16:52.218433485Z
1494,1679415412250390434,2023-03-21T16:16:52.250390434Z
1562,1679415412266388565,2023-03-21T16:16:52.266388565Z
1621,1679415412282325013,2023-03-21T16:16:52.282325013Z
1668,1679415412298279386,2023-03-21T16:16:52.298279386Z
1704,1679415412330280206,2023-03-21T16:16:52.330280206Z
1729,1679415412346286119,2023-03-21T16:16:52.346286119Z
1743,1679415412362190825,2023-03-21T16:16:52.362190825Z
1747,1679415412394205431,2023-03-21T16:16:52.394205431Z
1739,1679415412410168970,2023-03-21T16:16:52.410168970Z
1720,1679415412426190606,2023-03-21T16:16:52.426190606Z
1689,1679415412442184394,2023-03-21T16:16:52.442184394Z
1648,1679415412474190614,2023-03-21T16:16:52.474190614Z
1596,1679415412490109721,2023-03-21T16:16:52.490109721Z
1534,1679415412506098484,2023-03-21T16:16:52.506098484Z
1462,1679415412522109804,2023-03-21T16:16:52.522109804Z
1383,1679415412554089235,2023-03-21T16:16:52.554089235Z
1295,1679415412570090426,2023-03-21T16:16:52.570090426Z
1199,1679415412586003700,2023-03-21T16:16:52.586003700Z
1094,1679415412602020024,2023-03-21T16:16:52.602020024Z
981,1679415412633990654,2023-03-21T16:16:52.633990654Z
862,1679415412649968537,2023-03-21T16:16:52.649968537Z
736,1679415412665967748,2023-03-21T16:16:52.665967748Z
605,1679415412681946237,2023-03-21T16:16:52.681946237Z
470,1679415412713901840,2023-03-21T16:16:52.713901840Z
335,1679415412729899852,2023-03-21T16:16:52.729899852Z
199,1679415412745903664,2023-03-21T16:16:52.745903664Z
60,1679415412761879632,2023-03-21T16:16:52.761879632Z
16304,1679415412793791010,2023-03-21T16:16:52.793791010Z
16165,1679415412809776173,2023-03-21T16:16:52.809776173Z
16027,1679415412825805456,2023-03-21T16:16:52.825805456Z
15889,1679415412841788878,2023-03-21T16:16:52.841788878Z
15758,1679415412873696168,2023-03-21T16:16:52.873696168Z
15632,1679415412889695989,2023-03-21T16:16:52.889695989Z
15511,1679415412905682565,2023-03-21T16:16:52.905682565Z
15395,1679415412921650926,2023-03-21T16:16:52.921650926Z
15285,1679415412953649029,2023-03-21T16:16:52.953649029Z
