Sample set for CW rotation start at Horizontal plane
Position, Epoch time ns, ISO8601
12266,1677423926655214955,2023-02-26T15:05:26.655214955Z
12266,1677423926671225465,2023-02-26T15:05:26.671225465Z
12266,1677423926703251657,2023-02-26T15:05:26.703251657Z
12266,1677423926719193573,2023-02-26T15:05:26.719193573Z
12266,1677423926735229587,2023-02-26T15:05:26.735229587Z
12266,1677423926767173156,2023-02-26T15:05:26.767173156Z
12266,1677423926783146773,2023-02-26T15:05:26.783146773Z
12266,1677423926799215574,2023-02-26T15:05:26.799215574Z
12266,1677423926815222128,2023-02-26T15:05:26.815222128Z
12266,1677423926847183914,2023-02-26T15:05:26.847183914Z
12266,1677423926863115624,2023-02-26T15:05:26.863115624Z
12266,1677423926879116374,2023-02-26T15:05:26.879116374Z
12266,1677423926895117886,2023-02-26T15:05:26.895117886Z
12266,1677423926927170833,2023-02-26T15:05:26.927170833Z
12266,1677423926943095884,2023-02-26T15:05:26.943095884Z
12266,1677423926959111356,2023-02-26T15:05:26.959111356Z
12266,1677423926975130794,2023-02-26T15:05:26.975130794Z
12266,1677423927007168939,2023-02-26T15:05:27.007168939Z
12266,1677423927023100505,2023-02-26T15:05:27.023100505Z
12266,1677423927039136699,2023-02-26T15:05:27.039136699Z
12266,1677423927055130951,2023-02-26T15:05:27.055130951Z
12266,1677423927087133770,2023-02-26T15:05:27.087133770Z
12266,1677423927103084285,2023-02-26T15:05:27.103084285Z
12266,1677423927119061160,2023-02-26T15:05:27.119061160Z
12267,1677423927135067746,2023-02-26T15:05:27.135067746Z
12267,1677423927167007635,2023-02-26T15:05:27.167007635Z
12267,1677423927183029208,2023-02-26T15:05:27.183029208Z
12266,1677423927199015813,2023-02-26T15:05:27.199015813Z
12266,1677423927214913749,2023-02-26T15:05:27.214913749Z
12267,1677423927246896845,2023-02-26T15:05:27.246896845Z
12266,1677423927262905289,2023-02-26T15:05:27.262905289Z
12265,1677423927278962630,2023-02-26T15:05:27.278962630Z
12266,1677423927294969796,2023-02-26T15:05:27.294969796Z
12265,1677423927326963018,2023-02-26T15:05:27.326963018Z
12266,1677423927342960927,2023-02-26T15:05:27.342960927Z
12266,1677423927358908748,2023-02-26T15:05:27.358908748Z
234,1677423927374840863,2023-02-26T15:05:27.374840863Z
47,1677423927394732871,2023-02-26T15:05:27.394732871Z
12266,1677423927414914056,2023-02-26T15:05:27.414914056Z
12266,1677423927435040023,2023-02-26T15:05:27.435040023Z
12266,1677423927455159891,2023-02-26T15:05:27.455159891Z
12267,1677423927475281151,2023-02-26T15:05:27.475281151Z
12266,1677423927495401915,2023-02-26T15:05:27.495401915Z
12266,1677423927515528442,2023-02-26T15:05:27.515528442Z
12266,1677423927535653735,2023-02-26T15:05:27.535653735Z
12266,1677423927555771684,2023-02-26T15:05:27.555771684Z
12266,1677423927575889910,2023-02-26T15:05:27.575889910Z
12266,1677423927596005311,2023-02-26T15:05:27.596005311Z
